country,happiness_rank,happiness_score,economy,health,freedom,generosity,corruption
Afghanistan,141,3.7940,0.4015,0.1807,0.1062,0.3119,0.0612
Albania,109,4.6440,0.9962,0.7312,0.3815,0.2013,0.0399
Algeria,53,5.8720,1.0919,0.6176,0.2333,0.0694,0.1461
Argentina,24,6.5990,1.1853,0.6951,0.4945,0.1095,0.0597
Armenia,121,4.3760,0.9006,0.6375,0.1983,0.0835,0.0267
Australia,10,7.2840,1.4844,0.8439,0.6016,0.4777,0.3012
Austria,13,7.0060,1.4871,0.8153,0.5678,0.3165,0.2211
Azerbaijan,85,5.2340,1.1536,0.5408,0.3982,0.0453,0.1810
Bahrain,41,6.0870,1.4884,0.6531,0.5367,0.1727,0.2570
Bangladesh,110,4.6080,0.5867,0.5332,0.4784,0.1723,0.1237
Belarus,67,5.5690,1.1566,0.6377,0.2954,0.1551,0.1563
Belgium,17,6.8910,1.4638,0.8181,0.5398,0.2315,0.2513
Benin,143,3.6570,0.4311,0.2099,0.4260,0.2079,0.0609
Bhutan,97,5.0110,0.8854,0.4959,0.5015,0.4741,0.1734
Bolivia,58,5.8230,0.8338,0.4736,0.5587,0.2256,0.0605
Bosnia and Herzegovina,90,5.1820,0.9824,0.7052,0.2044,0.3289,0.0000
Botswana,142,3.7660,1.1221,0.3418,0.5052,0.0993,0.0986
Brazil,22,6.6350,1.1074,0.6166,0.4375,0.1623,0.1111
Bulgaria,105,4.7140,1.1615,0.7082,0.2892,0.1132,0.0111
Burkina Faso,134,4.0320,0.3502,0.2158,0.3244,0.2509,0.1203
Burundi,154,2.9050,0.0916,0.1516,0.0599,0.2044,0.0841
Cambodia,129,4.1680,0.6018,0.4298,0.6334,0.3859,0.0681
Cameroon,107,4.6950,0.5643,0.1329,0.4304,0.2363,0.0513
Canada,7,7.3160,1.4792,0.8346,0.6111,0.4355,0.2874
Chad,137,3.9360,0.4380,0.0411,0.1623,0.2161,0.0536
Chile,20,6.6520,1.2528,0.8195,0.3769,0.3267,0.0823
